refined_cell_state,mechanism_compartment,label,n_input_genes,ID,Term_Description,Fold_Enrichment,occurrence,support,lowest_p,highest_p,non_Signif_Snw_Genes,Up_regulated,Down_regulated,n_up_genes,n_down_genes
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-1474244,Extracellular matrix organization,15.485732167654364,10,0.75,2.234162235695244e-18,1.8148510592677678e-16,,"ADAMTS2, COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, COMP, CTSK, DCN, EFEMP1, EFEMP2, FBLN1, FBLN2, FBN1, FMOD, FN1, LAMB1, LOX, LOXL1, LOXL2, LTBP2, LUM, MFAP2, MMP2, PCOLCE, PECAM1, PPIB, TIMP1, TIMP2, TNXB, VCAN, VWF",,35,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-2129379,Molecules associated with elastic fibres,28.603761656393235,10,0.2,3.153331683751327e-13,3.153331683751327e-13,,"EFEMP1, EFEMP2, FBLN1, FBLN2, FBN1, FN1, LTBP2, MFAP2",,8,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-1566948,Elastic fibre formation,33.07309941520468,10,0.3,1.1708340768236343e-12,1.1708340768236343e-12,,"EFEMP1, EFEMP2, FBLN1, FBLN2, FBN1, FN1, LOX, LOXL1, LOXL2, LTBP2, MFAP2",,11,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-1474290,Collagen formation,20.8100400814771,10,0.3,5.996785103336326e-11,1.535042826386851e-10,,"ADAMTS2, COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, LOX, LOXL1, LOXL2, PCOLCE, PPIB",,14,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,26.024733966062694,10,0.3,2.027472432215559e-10,4.6336305593635507e-10,,"COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, LOX, LOXL1, LOXL2, PCOLCE",,12,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-2243919,Crosslinking of collagen fibrils,44.097465886939574,10,0.15,1.8266858897016726e-7,3.00907282401002e-7,,"COL1A1, COL1A2, LOX, LOXL1, LOXL2, PCOLCE",,6,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-1474228,Degradation of the extracellular matrix,15.119131161236423,10,0.3,2.826147033089168e-7,1.3004916786602142e-5,,"COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, CTSK, DCN, FBN1, FN1, LAMB1, MMP2, TIMP1, TIMP2",,16,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,22.048732943469783,10,0.25,2.821362521440816e-6,5.141665092631271e-6,,"ADAMTS2, COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, PCOLCE, PPIB",,11,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),14.09673089828396,10,0.15,4.182867207215851e-6,1.6713044911561274e-4,,"C3, CST3, FBN1, FN1, IGF1, IGFBP6, LAMB1, MMP2, PAPPA, PENK, PRSS23, TIMP1, VCAN",,13,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-216083,Integrin cell surface interactions,18.676573787409698,10,0.3,6.229405133158273e-5,5.306739843965191e-4,,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, COMP, FBN1, FN1, LUM, PECAM1, VWF",,12,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-8957275,Post-translational protein phosphorylation,11.339348370927318,10,0.15,6.445901354188564e-5,6.881313725433403e-4,,"C3, CST3, FBN1, FN1, LAMB1, PENK, PRSS23, TIMP1, VCAN",,9,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-3000178,ECM proteoglycans,22.62896275777162,10,0.25,1.3362366064996483e-4,1.865970157537558e-4,,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COMP, DCN, FMOD, FN1, LAMB1, LUM, TNXB, VCAN",,13,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-1442490,Collagen degradation,20.670687134502923,10,0.1,1.5318503167132983e-4,2.5063464818800903e-4,,"COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1, CTSK, MMP2",,10,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-3000170,Syndecan interactions,29.398310591293047,10,0.2,2.941869621703135e-4,0.0032321494403682845,,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, FN1",,6,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-8874081,MET activates PTK2 signaling,30.8682261208577,10,0.25,4.08057150641428e-4,0.004478306717766591,,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, FN1, LAMB1",,7,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-8875878,MET promotes cell motility,22.586506917700756,10,0.25,0.0010686672613595175,0.011681357394524527,,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, FN1, LAMB1",,7,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-8948216,Collagen chain trimerization,24.053163211057946,10,0.15,0.0013267887978698346,0.002595522737171488,,"COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL8A1",,8,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-3000171,Non-integrin membrane-ECM interactions,15.695708197046287,10,0.25,0.0032454325157082417,0.03524306211242646,,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, FN1, LAMB1",,7,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,5.9591170117485905,10,0.1,0.003268747536705132,0.0050092711641557515,,"ANXA1, COL1A2, FN1, MMP2, TIMP1",,5,0
HSC_myofibroblast_reference_supported,mesenchymal_HSC_myofibroblast,HSC/myofibroblast,174,R-HSA-114608,Platelet degranulation,8.466713450292398,10,0.05,0.006534787702926824,0.009782177662471235,HSPA5,"ECM1, FN1, IGF1, ISLR, PECAM1, RARRES2, TIMP1, VWF",,8,0
