file,gsm,sample_token,assay_file
GSM4041150_healthy1_cd45+_barcodes.tsv.gz,GSM4041150,healthy1_cd45+,barcodes
GSM4041150_healthy1_cd45+_genes.tsv.gz,GSM4041150,healthy1_cd45+,genes
GSM4041150_healthy1_cd45+_matrix.mtx.gz,GSM4041150,healthy1_cd45+,matrix
GSM4041151_healthy1_cd45-A_barcodes.tsv.gz,GSM4041151,healthy1_cd45-A,barcodes
GSM4041151_healthy1_cd45-A_genes.tsv.gz,GSM4041151,healthy1_cd45-A,genes
GSM4041151_healthy1_cd45-A_matrix.mtx.gz,GSM4041151,healthy1_cd45-A,matrix
GSM4041152_healthy1_cd45-B_barcodes.tsv.gz,GSM4041152,healthy1_cd45-B,barcodes
GSM4041152_healthy1_cd45-B_genes.tsv.gz,GSM4041152,healthy1_cd45-B,genes
GSM4041152_healthy1_cd45-B_matrix.mtx.gz,GSM4041152,healthy1_cd45-B,matrix
GSM4041153_healthy2_cd45+_barcodes.tsv.gz,GSM4041153,healthy2_cd45+,barcodes
GSM4041153_healthy2_cd45+_genes.tsv.gz,GSM4041153,healthy2_cd45+,genes
GSM4041153_healthy2_cd45+_matrix.mtx.gz,GSM4041153,healthy2_cd45+,matrix
GSM4041154_healthy2_cd45-_barcodes.tsv.gz,GSM4041154,healthy2_cd45-,barcodes
GSM4041154_healthy2_cd45-_genes.tsv.gz,GSM4041154,healthy2_cd45-,genes
GSM4041154_healthy2_cd45-_matrix.mtx.gz,GSM4041154,healthy2_cd45-,matrix
GSM4041155_healthy3_cd45+_barcodes.tsv.gz,GSM4041155,healthy3_cd45+,barcodes
GSM4041155_healthy3_cd45+_genes.tsv.gz,GSM4041155,healthy3_cd45+,genes
GSM4041155_healthy3_cd45+_matrix.mtx.gz,GSM4041155,healthy3_cd45+,matrix
GSM4041156_healthy3_cd45-A_barcodes.tsv.gz,GSM4041156,healthy3_cd45-A,barcodes
GSM4041156_healthy3_cd45-A_genes.tsv.gz,GSM4041156,healthy3_cd45-A,genes
GSM4041156_healthy3_cd45-A_matrix.mtx.gz,GSM4041156,healthy3_cd45-A,matrix
GSM4041157_healthy3_cd45-B_barcodes.tsv.gz,GSM4041157,healthy3_cd45-B,barcodes
GSM4041157_healthy3_cd45-B_genes.tsv.gz,GSM4041157,healthy3_cd45-B,genes
GSM4041157_healthy3_cd45-B_matrix.mtx.gz,GSM4041157,healthy3_cd45-B,matrix
GSM4041158_healthy4_cd45+_barcodes.tsv.gz,GSM4041158,healthy4_cd45+,barcodes
GSM4041158_healthy4_cd45+_genes.tsv.gz,GSM4041158,healthy4_cd45+,genes
GSM4041158_healthy4_cd45+_matrix.mtx.gz,GSM4041158,healthy4_cd45+,matrix
GSM4041159_healthy4_cd45-_barcodes.tsv.gz,GSM4041159,healthy4_cd45-,barcodes
GSM4041159_healthy4_cd45-_genes.tsv.gz,GSM4041159,healthy4_cd45-,genes
GSM4041159_healthy4_cd45-_matrix.mtx.gz,GSM4041159,healthy4_cd45-,matrix
GSM4041160_healthy5_cd45+_barcodes.tsv.gz,GSM4041160,healthy5_cd45+,barcodes
GSM4041160_healthy5_cd45+_genes.tsv.gz,GSM4041160,healthy5_cd45+,genes
GSM4041160_healthy5_cd45+_matrix.mtx.gz,GSM4041160,healthy5_cd45+,matrix
GSM4041161_cirrhotic1_cd45+_barcodes.tsv.gz,GSM4041161,cirrhotic1_cd45+,barcodes
GSM4041161_cirrhotic1_cd45+_genes.tsv.gz,GSM4041161,cirrhotic1_cd45+,genes
GSM4041161_cirrhotic1_cd45+_matrix.mtx.gz,GSM4041161,cirrhotic1_cd45+,matrix
GSM4041162_cirrhotic1_cd45-A_barcodes.tsv.gz,GSM4041162,cirrhotic1_cd45-A,barcodes
GSM4041162_cirrhotic1_cd45-A_genes.tsv.gz,GSM4041162,cirrhotic1_cd45-A,genes
GSM4041162_cirrhotic1_cd45-A_matrix.mtx.gz,GSM4041162,cirrhotic1_cd45-A,matrix
GSM4041163_cirrhotic1_cd45-B_barcodes.tsv.gz,GSM4041163,cirrhotic1_cd45-B,barcodes
GSM4041163_cirrhotic1_cd45-B_genes.tsv.gz,GSM4041163,cirrhotic1_cd45-B,genes
GSM4041163_cirrhotic1_cd45-B_matrix.mtx.gz,GSM4041163,cirrhotic1_cd45-B,matrix
GSM4041164_cirrhotic2_cd45+_barcodes.tsv.gz,GSM4041164,cirrhotic2_cd45+,barcodes
GSM4041164_cirrhotic2_cd45+_genes.tsv.gz,GSM4041164,cirrhotic2_cd45+,genes
GSM4041164_cirrhotic2_cd45+_matrix.mtx.gz,GSM4041164,cirrhotic2_cd45+,matrix
GSM4041165_cirrhotic2_cd45-_barcodes.tsv.gz,GSM4041165,cirrhotic2_cd45-,barcodes
GSM4041165_cirrhotic2_cd45-_genes.tsv.gz,GSM4041165,cirrhotic2_cd45-,genes
GSM4041165_cirrhotic2_cd45-_matrix.mtx.gz,GSM4041165,cirrhotic2_cd45-,matrix
GSM4041166_cirrhotic3_cd45+_barcodes.tsv.gz,GSM4041166,cirrhotic3_cd45+,barcodes
GSM4041166_cirrhotic3_cd45+_genes.tsv.gz,GSM4041166,cirrhotic3_cd45+,genes
GSM4041166_cirrhotic3_cd45+_matrix.mtx.gz,GSM4041166,cirrhotic3_cd45+,matrix
GSM4041167_cirrhotic3_cd45-_barcodes.tsv.gz,GSM4041167,cirrhotic3_cd45-,barcodes
GSM4041167_cirrhotic3_cd45-_genes.tsv.gz,GSM4041167,cirrhotic3_cd45-,genes
GSM4041167_cirrhotic3_cd45-_matrix.mtx.gz,GSM4041167,cirrhotic3_cd45-,matrix
GSM4041168_cirrhotic4_cd45+_barcodes.tsv.gz,GSM4041168,cirrhotic4_cd45+,barcodes
GSM4041168_cirrhotic4_cd45+_genes.tsv.gz,GSM4041168,cirrhotic4_cd45+,genes
GSM4041168_cirrhotic4_cd45+_matrix.mtx.gz,GSM4041168,cirrhotic4_cd45+,matrix
GSM4041169_cirrhotic5_cd45+_barcodes.tsv.gz,GSM4041169,cirrhotic5_cd45+,barcodes
GSM4041169_cirrhotic5_cd45+_genes.tsv.gz,GSM4041169,cirrhotic5_cd45+,genes
GSM4041169_cirrhotic5_cd45+_matrix.mtx.gz,GSM4041169,cirrhotic5_cd45+,matrix
GSM4041170_blood1_barcodes.tsv.gz,GSM4041170,blood1,barcodes
GSM4041170_blood1_genes.tsv.gz,GSM4041170,blood1,genes
GSM4041170_blood1_matrix.mtx.gz,GSM4041170,blood1,matrix
GSM4041171_blood2_barcodes.tsv.gz,GSM4041171,blood2,barcodes
GSM4041171_blood2_genes.tsv.gz,GSM4041171,blood2,genes
GSM4041171_blood2_matrix.mtx.gz,GSM4041171,blood2,matrix
GSM4041172_blood3_barcodes.tsv.gz,GSM4041172,blood3,barcodes
GSM4041172_blood3_genes.tsv.gz,GSM4041172,blood3,genes
GSM4041172_blood3_matrix.mtx.gz,GSM4041172,blood3,matrix
GSM4041173_blood4_barcodes.tsv.gz,GSM4041173,blood4,barcodes
GSM4041173_blood4_genes.tsv.gz,GSM4041173,blood4,genes
GSM4041173_blood4_matrix.mtx.gz,GSM4041173,blood4,matrix
GSM4041174_mouse_healthy_barcodes.tsv.gz,GSM4041174,mouse_healthy,barcodes
GSM4041174_mouse_healthy_genes.tsv.gz,GSM4041174,mouse_healthy,genes
GSM4041174_mouse_healthy_matrix.mtx.gz,GSM4041174,mouse_healthy,matrix
GSM4041175_mouse_fibrotic_barcodes.tsv.gz,GSM4041175,mouse_fibrotic,barcodes
GSM4041175_mouse_fibrotic_genes.tsv.gz,GSM4041175,mouse_fibrotic,genes
