gene,sample_id,disease_state,tissue,species,cells,mean_log_normalized_expression,pct_detected,validation_role
LST1,blood1,blood_reference,blood,Homo sapiens,8921,1.6637818827139248,69.72312521017822,circulating_myeloid_context
LST1,blood2,blood_reference,blood,Homo sapiens,6636,1.1264104982663485,46.26280892103677,circulating_myeloid_context
LST1,blood3,blood_reference,blood,Homo sapiens,8140,1.0997377963037696,43.85749385749386,circulating_myeloid_context
LST1,blood4,blood_reference,blood,Homo sapiens,7067,1.4474551024758289,62.09141078251026,circulating_myeloid_context
COL1A1,blood1,blood_reference,blood,Homo sapiens,8921,4.983867587424987e-4,0.03362851698240108,fibrosis_burden
COL1A1,blood2,blood_reference,blood,Homo sapiens,6636,0.0010441559367110058,0.0753465943339361,fibrosis_burden
COL1A1,blood3,blood_reference,blood,Homo sapiens,8140,4.4207936431329097e-4,0.02457002457002457,fibrosis_burden
COL1A1,blood4,blood_reference,blood,Homo sapiens,7067,0.001242675169947414,0.09905193151266449,fibrosis_burden
COL3A1,blood1,blood_reference,blood,Homo sapiens,8921,0,0,fibrosis_burden
COL3A1,blood2,blood_reference,blood,Homo sapiens,6636,0,0,fibrosis_burden
COL3A1,blood3,blood_reference,blood,Homo sapiens,8140,0,0,fibrosis_burden
COL3A1,blood4,blood_reference,blood,Homo sapiens,7067,0,0,fibrosis_burden
C1QA,blood1,blood_reference,blood,Homo sapiens,8921,0.0290560418812071,2.0289205246048647,macrophage_complement_context
C1QA,blood2,blood_reference,blood,Homo sapiens,6636,0.020433322847068298,1.295961422543701,macrophage_complement_context
C1QA,blood3,blood_reference,blood,Homo sapiens,8140,0.021864937039141472,1.3267813267813269,macrophage_complement_context
C1QA,blood4,blood_reference,blood,Homo sapiens,7067,0.033086798201646346,2.4196971840950896,macrophage_complement_context
C1QB,blood1,blood_reference,blood,Homo sapiens,8921,0.006893495262594057,0.4707992377536151,macrophage_complement_context
C1QB,blood2,blood_reference,blood,Homo sapiens,6636,0.003303427382976392,0.19590114526823388,macrophage_complement_context
C1QB,blood3,blood_reference,blood,Homo sapiens,8140,0.004527299748729472,0.23341523341523343,macrophage_complement_context
C1QB,blood4,blood_reference,blood,Homo sapiens,7067,0.005796578751137367,0.4669591057025612,macrophage_complement_context
C1QC,blood1,blood_reference,blood,Homo sapiens,8921,0.001306755885279421,0.08967604528640287,macrophage_complement_context
C1QC,blood2,blood_reference,blood,Homo sapiens,6636,0.0032061314212189014,0.18083182640144665,macrophage_complement_context
C1QC,blood3,blood_reference,blood,Homo sapiens,8140,0.004043802044182157,0.2702702702702703,macrophage_complement_context
C1QC,blood4,blood_reference,blood,Homo sapiens,7067,0.0014235172995020603,0.12735248337342578,macrophage_complement_context
