condition,cluster,hsc_marker_genes_detected,mean_hsc_norm,mean_hsc_pct_detected,cells,hsc_like_rank_within_condition,hsc_like_cluster
NAFL,11,7,3.667565,27.92814285714286,111,1,TRUE
NAFL,3,9,1.8501113333333332,19.915666666666667,1132,2,TRUE
NAFL,16,5,0.518936,8.4748,59,3,TRUE
NAFL,13,4,0.15690425,4.02075,143,4,TRUE
NAFL,10,8,0.09686375,0.8112499999999999,570,5,TRUE
NAFL,14,3,0.08525266666666667,1.3603333333333334,147,6,FALSE
NAFL,17,1,0.064122,2.632,38,7,FALSE
NAFL,9,2,0.0635575,1.064,94,8,FALSE
NAFL,12,4,0.0474095,1.87275,267,9,FALSE
NAFL,6,6,0.0444915,1.1575,216,10,FALSE
NAFL,7,7,0.03399442857142857,0.9392857142857143,1232,11,FALSE
NAFL,2,8,0.0276315,0.432,3675,12,FALSE
NAFL,5,7,0.027600142857142858,0.3728571428571429,1226,13,FALSE
NAFL,8,8,0.020960375,0.511875,513,14,FALSE
NAFL,0,8,0.020075125,0.8292499999999999,7657,15,FALSE
NAFL,4,8,0.0196285,0.24825,2215,16,FALSE
NAFL,1,8,0.01962825,0.772125,5504,17,FALSE
NASH,11,9,2.8627616666666666,22.473666666666666,2076,1,TRUE
NASH,3,9,2.414328888888889,22.695555555555554,9084,2,TRUE
NASH,16,9,0.41386477777777775,5.364,203,3,TRUE
NASH,10,9,0.1777991111111111,1.3252222222222223,1677,4,TRUE
NASH,14,9,0.16156977777777778,1.8912222222222221,423,5,TRUE
NASH,15,7,0.1346467142857143,1.9412857142857143,287,6,FALSE
NASH,17,1,0.104624,3.333,30,7,FALSE
NASH,4,9,0.10267977777777777,1.275,3146,8,FALSE
NASH,9,9,0.0941648888888889,1.9456666666666667,2267,9,FALSE
NASH,5,9,0.09211155555555556,1.115,3348,10,FALSE
NASH,7,9,0.08343188888888889,2.8392222222222223,2438,11,FALSE
NASH,8,9,0.08106366666666667,1.3956666666666666,2269,12,FALSE
NASH,13,9,0.08047144444444444,1.885111111111111,448,13,FALSE
NASH,2,9,0.05251411111111111,0.8982222222222223,10923,14,FALSE
NASH,6,9,0.03987688888888889,2.015,5073,15,FALSE
NASH,12,8,0.0396115,2.512875,597,16,FALSE
NASH,1,9,0.036755777777777776,1.8384444444444443,11616,17,FALSE
NASH,0,9,0.03394766666666667,1.6253333333333333,12743,18,FALSE
NORMAL,11,7,4.246577142857142,25.911714285714286,188,1,TRUE
NORMAL,3,9,2.223364,20.583222222222222,1349,2,TRUE
NORMAL,16,3,1.5056146666666668,14.414333333333333,37,3,FALSE
NORMAL,15,1,0.159276,2.778,36,4,FALSE
NORMAL,14,3,0.156171,1.754,57,5,FALSE
NORMAL,10,5,0.1537626,1.2308,260,6,FALSE
NORMAL,17,4,0.10653475,2.4555000000000002,112,7,FALSE
NORMAL,13,5,0.0642918,1.2568,175,8,FALSE
NORMAL,8,9,0.05459733333333333,0.8588888888888889,595,9,FALSE
NORMAL,12,6,0.05432683333333333,2.097,302,10,FALSE
NORMAL,6,6,0.05227933333333333,1.7778333333333334,375,11,FALSE
NORMAL,5,7,0.040901571428571426,0.5132857142857142,1169,12,FALSE
NORMAL,9,6,0.03832866666666667,1.139,278,13,FALSE
NORMAL,4,9,0.032103,0.5093333333333333,2749,14,FALSE
NORMAL,7,8,0.0307095,1.127625,1696,15,FALSE
NORMAL,2,9,0.027859000000000002,0.36333333333333334,6516,16,FALSE
NORMAL,0,8,0.023912,1.021,9843,17,FALSE
NORMAL,1,9,0.022917444444444445,0.9494444444444444,9033,18,FALSE
