refined_cell_state,donor,disease_state,sample_id,cells
HSC_myofibroblast_marker_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,1
HSC_myofibroblast_marker_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45+,96
HSC_myofibroblast_marker_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45-,9
HSC_myofibroblast_marker_supported,healthy2,healthy,healthy2_cd45-,1
HSC_myofibroblast_marker_supported,healthy3,healthy,healthy3_cd45-B,1
HSC_myofibroblast_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45+,41
HSC_myofibroblast_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,110
HSC_myofibroblast_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,148
HSC_myofibroblast_reference_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45+,68
HSC_myofibroblast_reference_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45-,57
HSC_myofibroblast_reference_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45+,145
HSC_myofibroblast_reference_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45-,71
HSC_myofibroblast_reference_supported,cirrhotic4,cirrhotic,cirrhotic4_cd45+,10
HSC_myofibroblast_reference_supported,cirrhotic5,cirrhotic,cirrhotic5_cd45+,9
HSC_myofibroblast_reference_supported,healthy1,healthy,healthy1_cd45+,3
HSC_myofibroblast_reference_supported,healthy1,healthy,healthy1_cd45-A,13
HSC_myofibroblast_reference_supported,healthy1,healthy,healthy1_cd45-B,204
HSC_myofibroblast_reference_supported,healthy2,healthy,healthy2_cd45+,3
HSC_myofibroblast_reference_supported,healthy2,healthy,healthy2_cd45-,675
HSC_myofibroblast_reference_supported,healthy3,healthy,healthy3_cd45+,4
HSC_myofibroblast_reference_supported,healthy3,healthy,healthy3_cd45-A,162
HSC_myofibroblast_reference_supported,healthy3,healthy,healthy3_cd45-B,519
HSC_myofibroblast_reference_supported,healthy4,healthy,healthy4_cd45+,16
HSC_myofibroblast_reference_supported,healthy4,healthy,healthy4_cd45-,3
HSC_myofibroblast_reference_supported,healthy5,healthy,healthy5_cd45+,5
endothelial_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45+,215
endothelial_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,698
endothelial_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,172
endothelial_reference_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45+,484
endothelial_reference_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45-,1015
endothelial_reference_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45+,573
endothelial_reference_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45-,1776
endothelial_reference_supported,cirrhotic4,cirrhotic,cirrhotic4_cd45+,59
endothelial_reference_supported,cirrhotic5,cirrhotic,cirrhotic5_cd45+,51
endothelial_reference_supported,healthy1,healthy,healthy1_cd45+,4
endothelial_reference_supported,healthy1,healthy,healthy1_cd45-A,446
endothelial_reference_supported,healthy1,healthy,healthy1_cd45-B,8
endothelial_reference_supported,healthy2,healthy,healthy2_cd45+,34
endothelial_reference_supported,healthy2,healthy,healthy2_cd45-,102
endothelial_reference_supported,healthy3,healthy,healthy3_cd45+,23
endothelial_reference_supported,healthy3,healthy,healthy3_cd45-A,1869
endothelial_reference_supported,healthy3,healthy,healthy3_cd45-B,102
endothelial_reference_supported,healthy4,healthy,healthy4_cd45+,90
endothelial_reference_supported,healthy4,healthy,healthy4_cd45-,461
endothelial_reference_supported,healthy5,healthy,healthy5_cd45+,6
macrophage_marker_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45+,682
macrophage_marker_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,465
macrophage_marker_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,1130
macrophage_marker_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45+,1976
macrophage_marker_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45-,1009
macrophage_marker_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45+,311
macrophage_marker_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45-,405
macrophage_marker_supported,cirrhotic4,cirrhotic,cirrhotic4_cd45+,440
macrophage_marker_supported,cirrhotic5,cirrhotic,cirrhotic5_cd45+,318
macrophage_marker_supported,healthy1,healthy,healthy1_cd45+,231
macrophage_marker_supported,healthy1,healthy,healthy1_cd45-A,149
macrophage_marker_supported,healthy1,healthy,healthy1_cd45-B,124
macrophage_marker_supported,healthy2,healthy,healthy2_cd45+,1681
macrophage_marker_supported,healthy2,healthy,healthy2_cd45-,1587
macrophage_marker_supported,healthy3,healthy,healthy3_cd45+,759
macrophage_marker_supported,healthy3,healthy,healthy3_cd45-A,384
macrophage_marker_supported,healthy3,healthy,healthy3_cd45-B,195
macrophage_marker_supported,healthy4,healthy,healthy4_cd45+,1171
macrophage_marker_supported,healthy4,healthy,healthy4_cd45-,685
macrophage_marker_supported,healthy5,healthy,healthy5_cd45+,899
macrophage_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45+,360
macrophage_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,116
macrophage_reference_supported,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,118
macrophage_reference_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45+,184
macrophage_reference_supported,cirrhotic2,cirrhotic,cirrhotic2_cd45-,996
macrophage_reference_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45+,372
macrophage_reference_supported,cirrhotic3,cirrhotic,cirrhotic3_cd45-,846
macrophage_reference_supported,cirrhotic4,cirrhotic,cirrhotic4_cd45+,908
macrophage_reference_supported,cirrhotic5,cirrhotic,cirrhotic5_cd45+,569
macrophage_reference_supported,healthy1,healthy,healthy1_cd45+,780
macrophage_reference_supported,healthy1,healthy,healthy1_cd45-A,208
macrophage_reference_supported,healthy1,healthy,healthy1_cd45-B,39
macrophage_reference_supported,healthy2,healthy,healthy2_cd45+,941
macrophage_reference_supported,healthy2,healthy,healthy2_cd45-,422
macrophage_reference_supported,healthy3,healthy,healthy3_cd45+,535
macrophage_reference_supported,healthy3,healthy,healthy3_cd45-A,400
macrophage_reference_supported,healthy3,healthy,healthy3_cd45-B,75
macrophage_reference_supported,healthy4,healthy,healthy4_cd45+,229
macrophage_reference_supported,healthy4,healthy,healthy4_cd45-,1415
macrophage_reference_supported,healthy5,healthy,healthy5_cd45+,1362
reference_Bcells,cirrhotic1,cirrhotic,cirrhotic1_cd45+,57
reference_Bcells,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,9
reference_Bcells,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,24
reference_Bcells,cirrhotic2,cirrhotic,cirrhotic2_cd45+,113
reference_Bcells,cirrhotic2,cirrhotic,cirrhotic2_cd45-,152
reference_Bcells,cirrhotic3,cirrhotic,cirrhotic3_cd45+,25
reference_Bcells,cirrhotic3,cirrhotic,cirrhotic3_cd45-,59
reference_Bcells,cirrhotic4,cirrhotic,cirrhotic4_cd45+,451
reference_Bcells,cirrhotic5,cirrhotic,cirrhotic5_cd45+,320
reference_Bcells,healthy1,healthy,healthy1_cd45+,29
reference_Bcells,healthy1,healthy,healthy1_cd45-A,1
reference_Bcells,healthy2,healthy,healthy2_cd45+,134
reference_Bcells,healthy2,healthy,healthy2_cd45-,67
reference_Bcells,healthy3,healthy,healthy3_cd45+,231
reference_Bcells,healthy3,healthy,healthy3_cd45-A,21
reference_Bcells,healthy3,healthy,healthy3_cd45-B,7
reference_Bcells,healthy4,healthy,healthy4_cd45+,175
reference_Bcells,healthy4,healthy,healthy4_cd45-,44
reference_Bcells,healthy5,healthy,healthy5_cd45+,32
reference_ILCs,cirrhotic1,cirrhotic,cirrhotic1_cd45+,246
reference_ILCs,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,60
reference_ILCs,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,69
reference_ILCs,cirrhotic2,cirrhotic,cirrhotic2_cd45+,344
reference_ILCs,cirrhotic2,cirrhotic,cirrhotic2_cd45-,256
reference_ILCs,cirrhotic3,cirrhotic,cirrhotic3_cd45+,29
reference_ILCs,cirrhotic3,cirrhotic,cirrhotic3_cd45-,140
reference_ILCs,cirrhotic4,cirrhotic,cirrhotic4_cd45+,53
reference_ILCs,cirrhotic5,cirrhotic,cirrhotic5_cd45+,44
reference_ILCs,healthy1,healthy,healthy1_cd45+,27
reference_ILCs,healthy1,healthy,healthy1_cd45-A,1
reference_ILCs,healthy2,healthy,healthy2_cd45+,494
reference_ILCs,healthy2,healthy,healthy2_cd45-,250
reference_ILCs,healthy3,healthy,healthy3_cd45+,319
reference_ILCs,healthy3,healthy,healthy3_cd45-A,35
reference_ILCs,healthy3,healthy,healthy3_cd45-B,9
reference_ILCs,healthy4,healthy,healthy4_cd45+,764
reference_ILCs,healthy4,healthy,healthy4_cd45-,632
reference_ILCs,healthy5,healthy,healthy5_cd45+,223
reference_Tcells,cirrhotic1,cirrhotic,cirrhotic1_cd45+,654
reference_Tcells,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,101
reference_Tcells,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,179
reference_Tcells,cirrhotic2,cirrhotic,cirrhotic2_cd45+,134
reference_Tcells,cirrhotic2,cirrhotic,cirrhotic2_cd45-,74
reference_Tcells,cirrhotic3,cirrhotic,cirrhotic3_cd45+,342
reference_Tcells,cirrhotic3,cirrhotic,cirrhotic3_cd45-,236
reference_Tcells,cirrhotic4,cirrhotic,cirrhotic4_cd45+,2818
reference_Tcells,cirrhotic5,cirrhotic,cirrhotic5_cd45+,1540
reference_Tcells,healthy1,healthy,healthy1_cd45+,752
reference_Tcells,healthy1,healthy,healthy1_cd45-A,10
reference_Tcells,healthy1,healthy,healthy1_cd45-B,4
reference_Tcells,healthy2,healthy,healthy2_cd45+,3274
reference_Tcells,healthy2,healthy,healthy2_cd45-,1563
reference_Tcells,healthy3,healthy,healthy3_cd45+,1370
reference_Tcells,healthy3,healthy,healthy3_cd45-A,177
reference_Tcells,healthy3,healthy,healthy3_cd45-B,171
reference_Tcells,healthy4,healthy,healthy4_cd45+,2463
reference_Tcells,healthy4,healthy,healthy4_cd45-,52
reference_Tcells,healthy5,healthy,healthy5_cd45+,2542
reference_pDCs,cirrhotic1,cirrhotic,cirrhotic1_cd45+,11
reference_pDCs,cirrhotic1,cirrhotic,cirrhotic1_cd45-A,2
reference_pDCs,cirrhotic1,cirrhotic,cirrhotic1_cd45-B,4
reference_pDCs,cirrhotic2,cirrhotic,cirrhotic2_cd45+,15
reference_pDCs,cirrhotic2,cirrhotic,cirrhotic2_cd45-,12
reference_pDCs,cirrhotic3,cirrhotic,cirrhotic3_cd45+,9
reference_pDCs,cirrhotic3,cirrhotic,cirrhotic3_cd45-,8
reference_pDCs,cirrhotic4,cirrhotic,cirrhotic4_cd45+,69
reference_pDCs,cirrhotic5,cirrhotic,cirrhotic5_cd45+,62
reference_pDCs,healthy1,healthy,healthy1_cd45+,22
reference_pDCs,healthy1,healthy,healthy1_cd45-A,2
reference_pDCs,healthy2,healthy,healthy2_cd45+,9
reference_pDCs,healthy2,healthy,healthy2_cd45-,10
reference_pDCs,healthy3,healthy,healthy3_cd45+,39
reference_pDCs,healthy3,healthy,healthy3_cd45-A,5
reference_pDCs,healthy3,healthy,healthy3_cd45-B,2
reference_pDCs,healthy4,healthy,healthy4_cd45+,12
reference_pDCs,healthy4,healthy,healthy4_cd45-,3
reference_pDCs,healthy5,healthy,healthy5_cd45+,31
