seurat_cluster,rank,reference_label,correlation
0,1,Tcells (1),0.9742430737187285
0,2,Tcells (2),0.952905639966729
0,3,Tcells (3),0.9510532472791542
1,1,ILCs (2),0.9892095868999436
1,2,ILCs (3),0.9557624859594537
1,3,Tcells (2),0.9407225765223545
10,1,Tcells (2),0.9532045636312519
10,2,ILCs (2),0.9352347540710699
10,3,ILCs (3),0.9168871246319829
11,1,Mesenchyme (2),0.9871571742278755
11,2,Mesenchyme (1),0.9721612647146524
11,3,Myofibroblasts,0.845041125835427
12,1,Bcells (2),0.9597682108293869
12,2,Bcells (1),0.9545235529834464
12,3,Tcells (2),0.8856354701064937
13,1,Tcells (2),0.8938472200550004
13,2,Tcells (4),0.8868659283700984
13,3,ILCs (2),0.8347823362974108
14,1,Endothelia (5),0.9976317194326604
14,2,Endothelia (7),0.9217390179083615
14,3,Endothelia (6),0.919863121240682
15,1,Plasma Bcells (1),0.9833137897593509
15,2,Plasma Bcells (2),0.9726961629161406
15,3,Bcells (1),0.8194598163562763
16,1,Cycling ILCs (1),0.9183676522345902
16,2,Cycling Tcells,0.9079352716932861
16,3,Tcells (4),0.8687932814095656
17,1,pDCs,0.98647074385483835
17,2,Tcells (2),0.8183770709884202
17,3,ILCs (2),0.8124959233498813
18,1,Myofibroblasts,0.9974804368960623
18,2,Mesenchyme (2),0.845375463284685
18,3,Mesenchyme (1),0.7822184364294756
19,1,Endothelia (2),0.9878601818806726
19,2,Endothelia (7),0.8931365338191443
19,3,Endothelia (6),0.8615849250392197
2,1,Tcells (4),0.9738049852463467
2,2,Tcells (2),0.9384752556284245
2,3,ILCs (2),0.9196509495783748
20,1,Cycling MPs (1),0.9323861001798442
20,2,MPs (8),0.8739497738543307
20,3,MPs (5),0.8529249937224107
21,1,Mesothelia,1
21,2,Myofibroblasts,0.7516911202498048
21,3,Mesenchyme (2),0.6805398537433615
22,1,Hepatocytes,0.9623846048274151
22,2,Cholangiocytes (3),0.6930499908737637
22,3,Cholangiocytes (2),0.6817490506282875
23,1,Mast cells,0.8481851141605767
23,2,Tcells (1),0.6959003564670659
23,3,Tcells (2),0.6867645394516398
3,1,MPs (4),0.9631952846476238
3,2,MPs (3),0.9616751223983431
3,3,MPs (1),0.9606177744302317
4,1,MPs (8),0.9757607344498813
4,2,MPs (5),0.9698517850604993
4,3,MPs (4),0.9538434749336558
5,1,Endothelia (7),0.9850737622939549
5,2,Endothelia (6),0.9842081102759863
5,3,Endothelia (5),0.9374273038610069
6,1,ILCs (3),0.9957835331896544
6,2,ILCs (2),0.9488234287220911
6,3,Tcells (4),0.9301489321591901
7,1,Cholangiocytes (2),0.9814617479357108
7,2,Cholangiocytes (3),0.9721614857247362
7,3,Cholangiocytes (1),0.9405426010148896
8,1,MPs (6),0.9833472820453858
8,2,MPs (7),0.9421539478841604
8,3,MPs (5),0.9402799184264667
9,1,Endothelia (1),0.9860373434378068
9,2,Endothelia (3),0.9603312361253372
9,3,Endothelia (4),0.9151104254465491
